zone_risk_score,earnings_baseline,trust_score,past_claims_count,claim_approval_rate,weeks_active,forecast_rain_mm,forecast_aqi,tier_basic,tier_standard,tier_premium,city_bangalore,city_mumbai,city_delhi,city_chennai,city_hyderabad,month,recommended_weekly_premium
67,1754.79,70,13,0.79,22,5.63,52,0,0,1,1,0,0,0,0,3,287
31,992.97,56,8,1.0,40,1.4,344,0,0,1,1,0,0,0,0,5,272
58,1020.76,92,6,0.913,49,20.39,264,0,1,0,0,0,0,1,0,11,172
68,2384.51,64,3,0.78,51,12.6,129,0,0,1,0,1,0,0,0,5,272
51,2474.11,73,8,1.0,24,1.41,293,0,1,0,0,1,0,0,0,5,177
69,1394.21,54,11,0.878,34,0.92,295,0,1,0,1,0,0,0,0,11,190
89,2085.15,87,4,0.788,9,11.22,176,0,1,0,0,0,1,0,0,1,176
24,1947.04,78,2,0.537,2,23.64,181,0,0,1,1,0,0,0,0,4,282
71,1024.37,95,1,0.871,45,2.41,146,0,1,0,0,0,0,1,0,6,164
71,522.98,95,8,0.782,25,5.31,190,1,0,0,1,0,0,0,0,5,121
56,699.37,60,3,0.803,12,33.36,244,0,1,0,0,1,0,0,0,4,196
71,2160.42,53,6,0.794,4,29.19,130,0,1,0,0,1,0,0,0,1,199
60,1935.55,59,0,0.575,51,12.0,204,0,1,0,0,0,0,0,1,5,180
64,1795.1,83,8,1.0,40,6.43,148,0,1,0,0,0,0,0,1,11,177
73,674.36,53,11,0.746,13,4.67,91,0,1,0,0,0,0,1,0,11,187
12,1743.85,59,8,0.95,29,4.96,118,0,1,0,0,0,1,0,0,2,167
60,2021.52,82,9,0.817,32,7.03,39,1,0,0,0,1,0,0,0,4,118
16,2207.26,95,5,0.439,27,11.64,110,0,1,0,1,0,0,0,0,4,161
30,427.79,67,5,0.828,30,7.15,197,0,1,0,0,1,0,0,0,8,180
82,1837.4,61,13,0.868,46,2.61,43,0,1,0,0,0,1,0,0,2,187
48,440.11,72,14,0.768,39,13.99,218,0,1,0,0,0,0,0,1,11,179
27,1884.43,93,5,1.0,1,6.03,232,1,0,0,0,0,1,0,0,2,113
13,1734.8,74,4,1.0,11,8.51,285,0,0,1,0,0,0,1,0,5,265
69,711.53,86,10,0.893,23,14.96,203,0,1,0,0,1,0,0,0,3,179
23,2008.86,53,0,0.913,49,4.85,39,1,0,0,0,1,0,0,0,5,99
18,543.53,62,3,0.677,17,26.57,75,0,1,0,0,0,0,0,1,2,190
62,2135.44,67,9,0.677,15,7.14,262,1,0,0,0,0,1,0,0,4,129
11,950.05,78,0,0.752,27,12.17,335,0,1,0,0,0,0,0,1,9,163
93,1846.59,93,4,1.0,10,14.07,265,1,0,0,1,0,0,0,0,7,129
69,2339.75,79,12,0.768,16,4.53,109,0,1,0,1,0,0,0,0,9,194
80,1113.64,97,3,1.0,37,2.99,152,1,0,0,1,0,0,0,0,1,107
53,1456.08,87,7,0.742,28,25.69,171,0,0,1,0,0,0,1,0,10,272
17,1372.55,77,0,0.706,2,3.76,315,0,1,0,0,1,0,0,0,11,152
56,730.98,56,7,0.775,39,1.16,33,1,0,0,1,0,0,0,0,12,122
44,1639.66,73,13,0.771,35,6.85,324,0,1,0,1,0,0,0,0,7,188
87,1960.3,90,7,0.741,15,17.41,341,1,0,0,1,0,0,0,0,11,129
90,2325.44,59,0,1.0,11,3.31,306,0,1,0,0,0,1,0,0,11,177
45,2186.69,86,8,0.842,33,6.81,179,0,0,1,1,0,0,0,0,4,257
59,1471.04,76,12,0.82,16,4.49,97,0,1,0,0,0,1,0,0,4,182
13,1909.94,70,8,0.854,11,0.25,308,0,1,0,0,1,0,0,0,11,174
11,2081.65,85,5,0.987,20,1.48,278,0,0,1,0,0,0,0,1,1,257
15,1436.33,92,0,0.854,19,15.95,99,0,0,1,1,0,0,0,0,8,252
63,642.4,78,6,0.896,39,27.26,310,1,0,0,0,1,0,0,0,7,129
13,1319.65,56,6,1.0,50,0.04,87,0,1,0,0,1,0,0,0,11,152
63,2169.2,62,8,0.69,23,19.75,347,0,1,0,0,1,0,0,0,2,199
72,1652.95,94,0,0.724,10,12.87,254,0,1,0,1,0,0,0,0,11,165
27,1921.36,72,13,0.866,8,11.55,108,0,0,1,1,0,0,0,0,8,289
53,789.06,99,14,0.744,2,5.62,306,0,1,0,1,0,0,0,0,4,179
43,2425.11,74,7,0.815,7,4.03,344,0,0,1,1,0,0,0,0,10,272
83,1248.57,90,13,0.685,26,5.29,238,1,0,0,0,0,1,0,0,3,129
71,1772.63,94,11,0.721,40,9.2,140,1,0,0,0,0,0,0,1,5,129
23,439.63,62,12,1.0,19,29.33,212,0,0,1,0,0,1,0,0,5,290
57,667.37,86,10,0.795,6,2.32,155,0,1,0,0,0,1,0,0,4,175
24,2042.27,79,7,0.781,33,36.37,101,0,0,1,1,0,0,0,0,6,282
81,2432.74,75,6,0.726,11,2.65,100,0,0,1,0,0,1,0,0,5,271
87,1072.12,61,11,0.717,36,18.69,222,0,1,0,0,1,0,0,0,2,199
71,478.08,50,5,0.694,12,10.79,32,0,1,0,1,0,0,0,0,7,199
49,1157.82,67,0,0.656,28,13.67,67,0,1,0,0,1,0,0,0,9,188
94,436.68,70,10,0.744,9,17.81,255,0,0,1,0,0,1,0,0,2,312
89,803.98,73,9,0.833,23,0.12,316,0,1,0,0,0,0,0,1,12,190
91,1980.19,66,10,0.946,40,12.88,144,0,1,0,1,0,0,0,0,12,198
62,2367.89,91,7,0.837,6,54.47,54,1,0,0,0,0,1,0,0,10,128
33,583.64,58,11,0.699,50,6.82,313,0,1,0,0,1,0,0,0,2,195
35,1571.59,89,4,0.769,19,7.81,282,0,0,1,0,1,0,0,0,2,258
69,933.15,77,3,0.76,20,1.12,286,0,1,0,1,0,0,0,0,12,169
50,692.02,64,4,0.751,18,4.17,151,0,0,1,0,1,0,0,0,7,285
38,859.86,62,4,0.793,27,9.48,77,0,0,1,0,0,1,0,0,6,278
24,1613.3,77,13,0.983,33,1.28,299,0,1,0,1,0,0,0,0,4,166
54,536.78,66,12,0.951,29,4.06,171,0,1,0,1,0,0,0,0,8,193
74,1311.86,58,9,1.0,9,4.28,199,1,0,0,0,0,1,0,0,2,129
80,683.98,70,2,0.716,45,16.76,270,0,1,0,0,0,1,0,0,6,191
18,972.62,79,3,0.682,44,7.71,148,1,0,0,1,0,0,0,0,11,111
10,800.58,60,3,0.795,50,8.08,206,0,1,0,0,1,0,0,0,1,154
17,2254.25,79,7,1.0,27,3.32,197,0,1,0,0,1,0,0,0,5,154
72,1886.82,85,4,0.534,39,3.76,308,0,1,0,1,0,0,0,0,8,190
20,2223.77,74,5,0.867,11,6.0,282,1,0,0,1,0,0,0,0,1,115
90,1205.27,56,9,0.799,50,16.98,220,0,0,1,0,0,1,0,0,2,299
17,1058.17,69,1,0.944,42,3.81,260,0,1,0,1,0,0,0,0,1,155
44,1199.23,84,8,0.913,8,3.88,179,0,1,0,1,0,0,0,0,11,172
44,438.95,59,7,0.943,14,8.42,46,1,0,0,0,0,1,0,0,4,123
42,1921.88,84,7,0.924,46,18.31,340,0,1,0,1,0,0,0,0,9,185
14,1134.52,50,9,1.0,13,7.01,342,0,0,1,1,0,0,0,0,4,275
50,1057.98,63,4,1.0,7,1.37,345,0,1,0,0,0,0,0,1,7,189
37,1656.1,94,4,0.974,15,24.69,187,0,1,0,0,0,1,0,0,12,164
16,1316.12,54,14,0.777,38,6.37,314,0,0,1,1,0,0,0,0,5,278
82,2459.77,89,2,0.794,44,14.86,132,0,1,0,1,0,0,0,0,9,173
81,1148.13,93,12,1.0,43,0.44,125,0,1,0,0,1,0,0,0,5,170
21,1689.18,87,10,1.0,18,18.09,298,0,1,0,0,0,0,0,1,6,182
43,1054.47,83,1,0.722,36,0.6,39,0,0,1,0,1,0,0,0,6,255
42,2480.25,73,8,0.55,31,34.29,251,1,0,0,0,0,0,1,0,1,129
57,1334.73,53,14,0.575,4,22.11,227,0,1,0,0,0,1,0,0,3,199
32,1731.67,76,5,1.0,13,3.1,150,0,1,0,1,0,0,0,0,11,164
71,666.12,54,7,1.0,39,2.53,220,0,1,0,1,0,0,0,0,2,183
46,1939.35,92,3,0.853,30,15.3,244,1,0,0,0,0,0,1,0,7,118
53,965.34,62,4,0.899,19,1.64,257,0,1,0,0,0,0,1,0,4,175
44,1342.09,89,9,1.0,4,20.27,206,0,1,0,0,0,1,0,0,12,187
74,2254.58,70,4,1.0,1,0.32,163,0,1,0,0,0,0,0,1,9,191
56,2438.16,86,10,0.952,40,10.54,173,1,0,0,0,0,0,0,1,3,122
87,1291.6,81,9,0.847,32,3.01,41,0,1,0,1,0,0,0,0,7,184
12,2153.09,87,3,0.785,12,18.49,281,0,1,0,0,1,0,0,0,5,157
10,512.03,80,10,0.808,12,4.73,199,1,0,0,1,0,0,0,0,2,118
14,2179.91,81,1,0.734,20,5.67,314,0,0,1,0,0,0,1,0,1,258
23,1721.97,64,13,0.948,11,1.57,339,0,1,0,1,0,0,0,0,11,176
36,1426.28,97,5,0.83,49,9.84,115,0,0,1,0,0,1,0,0,10,250
18,2268.92,79,3,0.727,30,6.36,305,0,1,0,0,0,1,0,0,10,153
88,2175.21,92,13,1.0,49,0.09,280,0,0,1,1,0,0,0,0,5,283
24,1023.58,56,10,0.933,44,13.13,318,0,1,0,0,0,0,0,1,3,178
51,2062.13,87,3,0.889,31,1.37,228,0,1,0,0,1,0,0,0,7,160
86,608.93,80,9,0.826,28,7.47,257,0,0,1,0,0,0,0,1,9,294
60,2127.8,93,2,0.919,44,7.75,145,1,0,0,0,1,0,0,0,4,104
72,1818.46,75,7,0.798,49,3.56,318,0,1,0,0,0,0,1,0,9,189
61,584.52,85,5,1.0,29,2.6,71,0,0,1,0,0,0,1,0,6,276
13,1834.47,95,8,1.0,41,3.73,255,0,0,1,0,0,1,0,0,1,251
32,1619.09,92,4,0.727,22,5.08,344,1,0,0,0,1,0,0,0,10,107
24,1648.56,75,5,0.811,45,27.22,216,0,0,1,0,0,0,0,1,7,281
52,1010.81,93,8,0.715,49,11.06,54,0,1,0,0,0,0,1,0,11,162
38,959.64,51,3,0.569,29,33.65,137,0,0,1,1,0,0,0,0,3,290
45,2001.32,92,9,1.0,1,0.89,252,0,1,0,0,1,0,0,0,2,178
22,939.31,94,6,0.828,21,0.47,172,0,1,0,1,0,0,0,0,1,150
41,1337.15,92,12,0.686,31,0.6,106,0,1,0,1,0,0,0,0,9,193
80,1859.06,58,9,0.59,27,19.6,70,0,1,0,1,0,0,0,0,4,199
68,567.19,97,11,0.883,35,17.98,251,0,0,1,1,0,0,0,0,4,285
37,1648.55,54,9,0.904,8,5.76,239,1,0,0,1,0,0,0,0,3,129
75,1637.69,76,10,0.912,40,5.72,148,1,0,0,0,0,0,0,1,1,129
51,1836.88,61,10,1.0,8,5.58,86,0,1,0,0,1,0,0,0,4,183
54,1176.85,84,5,0.984,6,28.91,286,0,1,0,0,0,0,1,0,10,187
71,1342.86,78,5,0.657,15,3.04,229,0,0,1,1,0,0,0,0,1,297
66,1092.94,65,5,0.687,21,12.67,73,0,1,0,0,0,1,0,0,8,199
15,2097.15,68,13,0.996,37,1.16,270,1,0,0,0,1,0,0,0,6,129
37,674.28,98,3,0.757,6,3.03,279,0,0,1,1,0,0,0,0,12,260
37,2422.2,92,9,0.63,29,9.12,109,1,0,0,1,0,0,0,0,2,128
53,1733.16,76,5,0.644,25,9.1,79,0,1,0,1,0,0,0,0,2,182
93,2262.5,67,11,0.991,23,8.07,304,0,1,0,1,0,0,0,0,12,199
39,1295.09,90,6,0.988,38,1.32,103,0,1,0,1,0,0,0,0,7,160
71,1097.79,62,12,0.869,27,14.05,220,0,1,0,1,0,0,0,0,3,197
84,2291.52,79,13,0.709,42,12.42,252,0,1,0,0,0,0,0,1,2,191
71,607.63,75,1,0.841,23,11.42,159,0,1,0,0,0,1,0,0,1,168
10,645.93,55,10,0.826,19,1.38,175,0,0,1,0,1,0,0,0,11,271
36,1028.63,52,8,0.784,28,2.5,171,0,1,0,0,1,0,0,0,2,171
71,2415.53,72,6,0.953,34,24.16,181,0,1,0,0,1,0,0,0,2,180
86,1729.44,61,2,0.778,7,6.59,347,0,1,0,0,0,1,0,0,5,191
12,1563.81,90,9,0.931,51,5.41,95,0,1,0,0,0,1,0,0,4,149
79,1881.25,90,9,0.9,13,20.6,53,0,1,0,1,0,0,0,0,12,180
81,1276.7,64,6,0.634,4,3.49,213,0,1,0,1,0,0,0,0,5,199
36,1991.95,50,9,1.0,11,17.49,286,0,1,0,1,0,0,0,0,6,199
18,1225.78,99,9,0.937,50,5.82,75,1,0,0,0,1,0,0,0,8,109
71,2135.36,96,13,0.611,21,9.72,146,0,1,0,1,0,0,0,0,11,191
46,961.32,57,4,0.634,21,4.54,104,1,0,0,0,0,0,1,0,11,129
60,982.85,80,8,1.0,43,24.81,44,1,0,0,0,1,0,0,0,6,129
53,1497.0,60,5,0.877,45,1.12,315,0,0,1,0,0,0,1,0,11,274
33,1304.6,66,10,0.934,42,2.45,263,0,1,0,0,0,1,0,0,9,186
88,1761.04,76,12,0.908,26,2.26,286,0,1,0,0,1,0,0,0,5,187
68,1165.01,80,6,1.0,31,3.01,181,1,0,0,0,0,0,0,1,6,129
41,884.16,76,3,1.0,49,6.06,309,0,1,0,0,0,1,0,0,4,163
61,1386.6,63,1,0.718,4,1.24,133,0,1,0,0,0,1,0,0,4,168
71,1578.01,72,14,0.925,3,0.4,160,0,1,0,0,0,1,0,0,5,192
67,699.46,54,10,0.639,39,8.35,86,0,1,0,0,1,0,0,0,12,199
61,1569.11,79,3,0.687,48,6.97,307,1,0,0,1,0,0,0,0,10,129
21,1070.44,83,8,0.804,21,4.17,148,1,0,0,0,1,0,0,0,1,113
48,1224.15,96,2,0.595,38,1.87,296,1,0,0,0,1,0,0,0,2,119
11,986.57,68,6,0.733,18,1.25,111,0,1,0,1,0,0,0,0,4,163
12,2355.96,80,12,0.524,33,21.98,254,0,0,1,0,1,0,0,0,7,300
65,1835.01,65,13,0.847,51,5.7,136,0,1,0,0,0,0,0,1,11,186
90,951.17,94,3,1.0,42,30.47,134,0,1,0,1,0,0,0,0,2,179
68,1754.57,76,2,0.855,35,3.93,95,0,1,0,0,0,1,0,0,2,156
11,2182.0,75,13,0.855,32,9.48,244,1,0,0,0,0,0,1,0,4,115
11,1243.42,88,13,0.796,11,8.38,38,1,0,0,0,0,1,0,0,11,106
63,2142.91,78,13,0.997,39,1.77,49,0,1,0,1,0,0,0,0,4,168
10,724.27,98,4,0.842,31,6.81,139,0,1,0,0,1,0,0,0,9,153
28,2127.84,88,1,0.685,30,6.63,268,0,1,0,0,1,0,0,0,9,172
11,1534.62,93,10,0.875,38,7.06,294,0,1,0,1,0,0,0,0,5,160
62,868.25,94,13,1.0,46,3.59,218,0,1,0,1,0,0,0,0,1,169
53,1255.0,78,9,0.636,20,2.78,90,0,1,0,0,0,1,0,0,8,194
41,2474.79,94,13,0.709,40,5.28,281,0,0,1,0,0,0,1,0,6,279
79,2045.47,95,3,0.834,26,25.61,157,1,0,0,0,0,0,0,1,11,122
41,1607.68,96,6,0.797,11,8.43,265,0,1,0,1,0,0,0,0,5,162
77,641.84,80,11,0.913,2,6.32,179,0,1,0,0,1,0,0,0,1,191
64,1277.4,51,11,0.703,39,2.18,209,0,1,0,0,0,1,0,0,11,187
84,952.41,55,1,0.771,17,26.05,199,0,1,0,0,0,1,0,0,6,194
65,549.1,58,9,0.858,24,10.78,43,1,0,0,0,0,1,0,0,11,129
26,1538.63,64,5,0.863,30,44.72,154,1,0,0,0,0,1,0,0,10,128
47,2267.29,69,4,1.0,37,1.85,135,1,0,0,0,1,0,0,0,11,109
33,1818.76,97,2,0.967,6,4.95,264,0,0,1,0,1,0,0,0,5,257
78,924.33,51,4,0.619,49,4.04,44,0,1,0,1,0,0,0,0,3,188
79,1604.53,52,14,0.698,23,4.04,62,0,1,0,1,0,0,0,0,7,199
20,2380.79,79,9,0.646,47,0.33,292,1,0,0,1,0,0,0,0,4,129
25,1918.12,57,6,1.0,35,7.72,331,0,1,0,0,0,1,0,0,11,167
82,1847.9,89,2,0.69,50,9.39,70,0,1,0,1,0,0,0,0,10,172
68,2433.13,70,7,0.938,47,0.48,273,0,1,0,0,0,1,0,0,11,180
79,2077.63,88,14,0.923,26,21.19,82,0,1,0,1,0,0,0,0,2,182
89,686.91,92,6,0.63,25,2.25,85,0,0,1,1,0,0,0,0,1,280
12,1130.03,62,3,0.787,36,1.6,98,0,1,0,1,0,0,0,0,2,153
29,2426.8,89,12,0.81,21,1.99,311,0,0,1,0,0,1,0,0,11,266
68,1428.38,90,14,0.613,42,5.48,287,0,1,0,0,1,0,0,0,7,199
45,634.44,97,12,1.0,43,0.86,335,0,1,0,1,0,0,0,0,9,176
28,1363.07,86,4,0.876,23,17.36,154,0,1,0,0,1,0,0,0,1,157
76,1863.69,81,9,1.0,1,11.39,286,0,1,0,0,0,0,0,1,1,199
28,2494.85,63,10,1.0,10,6.39,97,0,1,0,1,0,0,0,0,1,181
29,1080.2,50,3,0.874,25,6.94,135,0,1,0,0,0,1,0,0,11,162
80,1479.58,76,1,0.906,22,5.21,87,1,0,0,0,0,1,0,0,2,113
61,2247.33,73,11,0.732,47,12.57,87,0,1,0,0,0,0,1,0,8,193
42,1146.06,98,14,1.0,8,30.62,167,0,1,0,1,0,0,0,0,2,184
49,629.45,71,8,0.843,41,8.06,172,1,0,0,0,0,1,0,0,4,117
48,2392.77,63,0,0.786,33,8.29,303,0,1,0,1,0,0,0,0,10,164
91,1425.73,94,7,0.735,12,7.39,267,0,1,0,1,0,0,0,0,12,191
10,1455.85,57,3,0.861,48,24.09,220,0,0,1,0,0,1,0,0,2,266
20,1704.52,76,8,0.943,39,10.1,169,1,0,0,0,1,0,0,0,6,119
66,407.43,52,2,0.881,12,20.75,229,1,0,0,0,1,0,0,0,6,129
59,2355.38,82,6,0.919,12,8.78,199,0,1,0,0,0,0,1,0,8,181
32,1159.05,96,14,0.818,11,11.98,94,0,1,0,1,0,0,0,0,2,163
40,1233.56,70,2,0.926,48,10.66,192,0,1,0,1,0,0,0,0,1,163
51,765.63,81,14,0.921,8,5.81,276,0,1,0,0,1,0,0,0,12,190
16,1194.12,89,9,1.0,51,1.48,75,0,0,1,0,1,0,0,0,1,249
25,2088.28,90,11,0.971,8,5.48,173,1,0,0,0,1,0,0,0,12,118
69,2079.98,94,6,0.873,37,20.56,84,0,0,1,0,1,0,0,0,5,265
11,2365.17,93,1,0.912,49,10.67,298,0,0,1,1,0,0,0,0,12,249
10,1246.78,90,2,0.677,16,28.74,145,0,0,1,0,0,0,1,0,5,271
57,1888.32,81,7,1.0,36,3.27,159,0,0,1,1,0,0,0,0,2,268
21,1465.2,73,6,0.813,18,6.38,334,0,1,0,1,0,0,0,0,6,178
78,2088.45,60,10,0.831,44,13.6,78,0,0,1,1,0,0,0,0,2,288
46,1896.34,86,2,0.778,21,1.42,165,0,1,0,0,1,0,0,0,11,149
41,1172.6,70,7,0.717,4,1.04,211,0,1,0,0,1,0,0,0,7,190
18,1107.02,67,12,0.727,50,13.98,31,0,1,0,1,0,0,0,0,3,169
28,930.13,60,8,0.688,7,10.94,148,0,0,1,0,1,0,0,0,2,292
57,1610.68,76,1,0.814,34,6.56,111,1,0,0,1,0,0,0,0,11,114
89,2424.07,92,1,0.975,34,0.69,203,0,0,1,0,0,1,0,0,6,273
12,820.14,87,14,0.847,45,9.88,62,1,0,0,0,1,0,0,0,10,98
29,600.03,50,6,0.95,36,11.04,39,1,0,0,0,1,0,0,0,1,116
33,650.74,78,10,0.922,37,3.57,346,0,0,1,0,0,0,0,1,5,271
63,2044.51,70,7,0.783,30,0.94,132,1,0,0,0,1,0,0,0,10,129
42,1135.22,78,14,1.0,26,7.01,111,0,1,0,0,1,0,0,0,11,173
33,871.17,58,4,1.0,12,6.66,236,0,1,0,1,0,0,0,0,6,184
84,1140.97,56,1,0.973,11,3.5,209,0,1,0,1,0,0,0,0,8,189
81,1755.19,87,13,0.912,29,8.3,150,0,0,1,1,0,0,0,0,3,270
45,1548.25,80,9,0.799,3,9.38,255,0,1,0,1,0,0,0,0,7,193
47,1961.54,76,4,0.799,11,25.59,81,0,1,0,0,1,0,0,0,11,175
93,1112.06,91,2,0.846,9,14.87,113,0,0,1,1,0,0,0,0,1,272
34,1349.26,81,12,1.0,26,16.56,61,0,1,0,0,0,1,0,0,6,182
27,614.13,54,8,1.0,8,2.05,155,0,1,0,0,1,0,0,0,1,173
91,553.42,82,1,0.634,21,6.13,313,0,1,0,1,0,0,0,0,7,196
75,1370.74,64,8,0.889,8,2.33,311,0,0,1,1,0,0,0,0,8,306
63,1033.35,54,1,0.477,42,2.07,139,0,0,1,0,1,0,0,0,6,292
44,1686.88,69,0,0.784,6,7.04,40,0,0,1,1,0,0,0,0,1,262
89,490.3,87,9,0.748,18,3.29,264,1,0,0,0,0,0,0,1,8,129
70,655.71,86,5,0.933,6,2.42,103,1,0,0,0,1,0,0,0,2,124
50,2216.9,66,10,0.687,21,12.93,91,0,1,0,0,1,0,0,0,9,199
42,1589.25,99,5,0.621,44,0.34,126,0,1,0,0,0,0,1,0,11,164
77,1895.31,53,3,0.775,48,13.95,141,0,0,1,0,0,0,0,1,11,280
42,2168.14,70,12,0.849,48,22.89,43,0,0,1,0,0,0,0,1,1,286
23,1374.05,83,1,0.589,23,12.2,166,0,1,0,0,1,0,0,0,6,177
30,1998.23,89,12,1.0,36,2.15,36,0,0,1,1,0,0,0,0,5,251
57,1501.63,54,9,0.82,18,13.32,52,1,0,0,0,0,0,1,0,5,129
29,867.77,53,11,0.854,27,6.97,342,0,1,0,1,0,0,0,0,6,190
17,1109.08,71,10,1.0,45,10.16,222,1,0,0,1,0,0,0,0,6,127
16,1429.74,63,2,0.74,3,4.99,177,1,0,0,1,0,0,0,0,11,113
76,1065.46,53,12,1.0,12,2.11,86,0,1,0,0,0,0,1,0,10,189
26,1104.61,57,5,0.851,20,0.23,339,0,1,0,0,0,0,0,1,8,184
42,1108.52,52,3,0.969,19,13.52,261,0,1,0,0,0,0,1,0,4,175
57,657.96,95,4,0.917,23,5.56,67,0,0,1,1,0,0,0,0,9,265
85,577.75,78,10,0.953,5,2.77,332,0,1,0,0,0,0,1,0,8,199
68,497.64,75,8,0.861,51,9.75,273,1,0,0,1,0,0,0,0,1,129
31,633.01,99,4,0.78,19,15.73,140,0,1,0,0,0,1,0,0,4,164
39,1121.78,79,9,1.0,12,7.53,37,1,0,0,0,0,0,0,1,8,129
47,1647.13,61,14,0.847,28,14.33,48,0,1,0,1,0,0,0,0,8,188
60,795.11,64,10,0.685,37,4.13,63,0,0,1,0,1,0,0,0,4,294
63,2264.82,90,7,1.0,34,10.59,201,0,1,0,0,0,1,0,0,8,181
17,2097.6,51,1,0.803,16,9.57,292,0,0,1,0,1,0,0,0,3,266
36,1493.11,50,11,0.592,4,1.9,50,0,1,0,1,0,0,0,0,3,197
36,1920.84,96,13,0.726,47,13.41,73,0,1,0,0,1,0,0,0,9,168
30,1169.29,96,5,0.556,42,14.28,310,0,1,0,0,0,1,0,0,7,185
39,477.23,77,10,0.733,6,10.69,332,0,0,1,0,1,0,0,0,6,299
37,2299.1,89,10,1.0,7,4.77,159,0,1,0,0,0,1,0,0,2,172
73,668.37,84,5,0.919,34,7.9,112,0,1,0,1,0,0,0,0,9,179
78,2390.67,83,4,0.849,4,5.77,135,0,1,0,0,1,0,0,0,1,178
70,1600.95,53,14,0.763,15,0.03,130,0,1,0,0,0,0,1,0,1,189
57,1041.68,67,5,0.829,13,0.11,210,1,0,0,0,0,0,0,1,8,129
28,1440.6,61,13,1.0,9,2.19,338,0,0,1,0,1,0,0,0,3,287
13,1453.42,99,4,0.576,37,24.42,180,0,1,0,0,1,0,0,0,9,179
44,448.9,70,1,1.0,17,9.98,64,0,1,0,1,0,0,0,0,7,178
73,1146.47,59,4,0.718,38,4.94,180,0,1,0,1,0,0,0,0,10,177
58,1953.72,70,0,0.813,14,9.34,331,0,1,0,1,0,0,0,0,7,180
26,1471.15,89,2,0.826,37,0.66,100,0,1,0,1,0,0,0,0,10,149
53,912.88,74,13,0.822,31,1.1,31,1,0,0,0,0,0,0,1,10,119
39,1103.73,99,6,0.749,2,0.84,240,1,0,0,1,0,0,0,0,1,117
55,2212.41,66,3,0.981,46,16.99,121,0,1,0,0,1,0,0,0,12,170
15,1503.65,55,7,1.0,19,91.42,67,0,1,0,1,0,0,0,0,1,182
46,1509.54,63,2,0.993,19,2.53,65,0,1,0,1,0,0,0,0,7,171
33,2419.08,86,6,0.863,13,6.59,213,1,0,0,0,0,1,0,0,12,114
55,1073.85,89,13,0.762,21,1.42,47,0,1,0,0,0,1,0,0,9,178
62,1407.04,89,1,0.822,31,21.35,167,0,1,0,1,0,0,0,0,2,165
69,2104.6,67,13,0.837,44,1.69,311,1,0,0,0,1,0,0,0,7,129
72,1993.72,79,7,0.703,28,7.44,157,0,1,0,1,0,0,0,0,12,175
94,958.18,58,14,0.877,1,8.71,236,0,0,1,0,1,0,0,0,8,319
41,717.29,63,12,1.0,35,6.55,344,1,0,0,1,0,0,0,0,2,129
42,1871.48,95,2,0.825,10,0.63,286,1,0,0,0,0,0,1,0,1,101
76,941.08,95,12,0.925,8,11.56,119,0,1,0,0,1,0,0,0,11,185
27,2337.62,66,5,0.751,13,21.69,147,0,1,0,0,1,0,0,0,12,183
34,671.42,83,1,0.983,19,0.94,248,0,1,0,1,0,0,0,0,7,165
63,1068.46,95,6,0.751,3,13.02,292,0,1,0,0,1,0,0,0,1,178
67,515.05,71,12,0.788,3,17.21,193,1,0,0,0,0,0,0,1,2,129
